model,method,run_id,case_id,run_file,valid,path,issues
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_01_healthcare_portal,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_01_healthcare_portal/run_01.puml,"missing_final_state_transition (state --> [*]) | unreachable_states_detected | unreachable: ActivityChoice, Expert Content, Facility A, Facility B, Facility C, FacilityChoice, Health Info, Invalid Login, LoggedIn, Login, LoginDecision, Read News, Valid Login | orphan_states_detected | orphan: Expert Content, Health Info, Read News | choice_node_without_outgoing_transitions (ActivityChoice) | choice_node_without_guarded_outgoing_transitions (FacilityChoice) | choice_node_without_guarded_outgoing_transitions (LoginDecision) | choice_node_without_guarded_outgoing_transitions (RegistrationDecision)"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_02_inventory,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_02_inventory/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_12_business_process_outsourcing_bpo_management_system_2,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml,choice_node_without_guarded_outgoing_transitions (ChoiceFilter)
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_15_e_ticketing_for_bus,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_15_e_ticketing_for_bus/run_01.puml,"multiple_initial_state_transitions (Registration, Login, RegDetails, TicketCheck, AccountManage) | duplicate_transitions_detected (2) | orphan_states_detected | orphan: Unauthenticated | choice_node_without_guarded_outgoing_transitions (BookTicket) | choice_node_without_outgoing_transitions (OrderComplete) | choice_node_without_guarded_outgoing_transitions (Payment) | choice_node_without_outgoing_transitions (RegInvalid) | choice_node_without_guarded_outgoing_transitions (RegValid) | choice_node_without_guarded_outgoing_transitions (TicketCheck)"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_16_weather_monitoring_system,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_16_weather_monitoring_system/run_01.puml,"plantuml_syntax_error: Error line 77 in file: diagram.puml; Some diagram description contains errors | missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*]) | orphan_states_detected | orphan: Idle, Invalid login, Invalid registration, LoggedIn, Login, PrescribeMedicines, ReadBlog, Register, SendPatientInfo, StockUp, UpdateInfected, ViewDeathCount, ViewInfected, ViewMaskDemand, ViewPatientInfo"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_18_digidoclocker,run_01.puml,True,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_18_digidoclocker/run_01.puml,
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_28_ott_based_system_mini_reel,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_28_ott_based_system_mini_reel/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*]) | choice_node_without_guarded_outgoing_transitions (LoggedIn)
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_32_e_visa_processing_and_follow_up_system,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_32_e_visa_processing_and_follow_up_system/run_01.puml,"multiple_initial_state_transitions (CreateUser, MakePayment, DocumentCheck) | orphan_states_detected | orphan: ApplicationProcessing, ApplyVisa | choice_node_without_guarded_outgoing_transitions (MainMenu)"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_33_farm_management_system,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_33_farm_management_system/run_01.puml,"plantuml_syntax_error: Error line 9 in file: diagram.puml; Some diagram description contains errors | multiple_initial_state_transitions (Dashboard, PestPhoto, SoilInfo, LocationWeather, LocationLabour) | missing_final_state_transition (state --> [*]) | orphan_states_detected | orphan: Labour, LabourResults, Login, Logout, MarketConditions, PestControl, PestTechniques, SoilResults, SoilSuggestions, Weather"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_34_green_rides,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_34_green_rides/run_01.puml,"missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*]) | orphan_states_detected | orphan: Destination Selected, Driving Mode Activated, Journey Details Displayed, Journey Ended, Logged In, Menu Viewed, Order Placed, Other Options Selected, Place to Eat Selected, Report Submitted"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_37_online_quiz_system,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_37_online_quiz_system/run_01.puml,"multiple_initial_state_transitions (Start, Start)"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_39_website_development,run_01.puml,True,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_39_website_development/run_01.puml,
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_41_video_suggestion_system,run_01.puml,True,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_41_video_suggestion_system/run_01.puml,
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_45_alarm_clock,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_45_alarm_clock/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_46_digital_watch,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_46_digital_watch/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_47_safehome_security_function,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_47_safehome_security_function/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_51_process_sale,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_51_process_sale/run_01.puml,"missing_final_state_transition (state --> [*]) | unreachable_states_detected | unreachable: Recording items, Sale completed, VerifyingPayment, Waiting for customer, Waiting for payment"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_52_microwave_oven,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_52_microwave_oven/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_54_weather_station_system,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_54_weather_station_system/run_01.puml,"multiple_initial_state_transitions (Shutdown, Running) | missing_final_state_transition (state --> [*])"
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_59_atm_1,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_59_atm_1/run_01.puml,plantuml_syntax_error: Error line 42 in file: diagram.puml; Some diagram description contains errors | missing_final_state_transition (state --> [*]) | unreachable_states_detected | unreachable: Terminating | orphan_states_detected | orphan: Terminating
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_60_atm_2,run_01.puml,True,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_60_atm_2/run_01.puml,
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_65_plane,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_65_plane/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_67_atm_many_scenarios_1,run_01.puml,False,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_67_atm_many_scenarios_1/run_01.puml,missing_final_state_transition (state --> [*])
